Organisme	démarches	dossiers
Institut National des Métiers d'Art	2	237
DDT de la Mayenne	2	236
Direction financière	4	236
Ministère de la transition écologique et de la cohésion des territoires - Direction générale de la sécurité civile et de la gestion des crises	1	235
Préfecture de La charente, ministère de l'Intérieur	1	234
Préfecture de région Bretagne - SGAR	3	232
Mission appui territorial	1	230
Direction Départementale des Territoires de la Dordogne	2	226
Direction de la citoyenneté et la légalité - Bureau des dotations et des subventions de l'Etat	1	224
Préfecture de la Vendée	2	222
Préfecture et sous-préfectures	1	221
Direction Départementale des Territoires du Rhône	2	221
Pôle coordination des moyens et animation des politiques publiques	4	221
Préfecture de la Seine-Maritime	6	220
Conseil départemental d’Eure-et-Loir  	5	217
Direction Départementale des Territoires et de la Mer de Loire Atlantique	1	214
Rectorat de région académique Provence-Alpes-Côte d'Azur	2	207
Préfecture de la région d'Île-de-France, Préfecture de Paris 	2	207
Préfecture du Calvados	6	207
Direction Départementale des Territoires du Lot	3	206
Direction Départementale des Territoires de la Sarthe	3	206
DDT de Vaucluse	1	205
Préfecture de la Corse-du-Sud	1	204
Métropole de Lyon 	1	204
Direction départemental des territoires de la Haute-Garonne	3	204
CGSS Martinique	2	204
sous-préfecture de Romorantin-Lanthenay- Loir-et-Cher	4	203
Préfecture des Bouches-du-Rhône	2	201
Direction Départementale des territoires et de la Mer	1	200
Direction Départementale des Territoires et de la Mer de la Seine-Maritime	2	200
Service de la coordination des politiques publiques et de l'appui territoririal (SCPPAT) - Pôle appui territorial	1	199
Mairie de Megève	6	199
Préfecture de Police 	2	198
Préfecture de la Mayenne	1	197
DDTM 44	1	196
Préfecture du Var, ministère de l'Intérieur et des Outre-mer	1	196
Préfecture des Alpes-Maritimes	2	196
Préfecture du Val d'Oise	1	195
Préfecture de l'Aveyron	3	195
 Direction des relations avec les collectivités locales - Bureau des concours financiers	1	194
URSSAF FRANCHE-COMTE	1	194
Préfecture de la Haute-Corse	2	194
sous-préfecture de Vendôme - Loir-et-Cher	3	192
Unité Régionale 	3	190
DDETS 13	1	189
DDT Yonne	3	189
Préfectures des Hautes Alpes et de l'Isère, Commissariat de massif des Alpes	1	188
DRIAAF ILE DE FRANCE	2	188
Préfecture des Hauts de Seine	1	187
Préfecture des Hautes-Alpes, Ministère de l'Intérieur et de l'Outre-Mer	1	186
Secteur fichier & paiements	2	183
DREAL PACA	2	179
Ministère de l'Education nationale et ministère de la Culture	2	177
Direction des services départementaux de l'éducation nationale (DSDEN) d'Ille-et-Vilaine	2	174
ARS Occitanie	2	173
DDTM 62	1	170
Ministère délégué chargé de l'enfance, de la jeunesse et des familles	2	170
ministère de l'Agriculture	1	169
Préfecture de région des Pays de la Loire, Ministère de l'Intérieur et des Outre-mer	2	169
Préfecture du Val-de-Marne	3	167
Conseil Départemental de la Guadeloupe	5	164
URSSAF AUVERGNE	4	163
Communauté d'Agglomération de la Porte du Hainaut	23	162
Ministère de l'économie	2	161
Ministère de l'Agriculture et de la Souveraineté alimentaire	3	161
URSSAF Bourgogne - Travailleurs indépendants	1	160
Service des Politiques de Cohésion Sociale DDETS 35	3	160
DR PÔLE EMPLOI PROVENCE-ALPES-CÔTE D'AZUR	2	159
Préfecture des Yvelines - Cabinet du préfet	3	159
Office Français de la Biodiversité	2	158
Caisse des Dépôts	2	158
DREETS Bourgogne-Franche-Comté, DGT, Ministère du Travail 	1	157
Préfecture des Deux-Sèvres, Ministère de l'Intérieur et des Outre-mer	1	155
Direction régionale de l'économie, de l'emploi, du travail et des solidarités de Nouvelle-Aquitaine, ministère des solidarités, de l'autonomie et des personnes handicapées	3	155
 SESR, Préfecture de Seine-et-Marne	4	155
Ministère de la Culture / ARS Centre-Val de Loire	2	154
dreets	1	152
Préfecture du Doubs	2	152
Direction Départementale des Territoires et de la Mer	4	152
Carsat Normandie	12	152
Direction Départementale des Territoires et de la Mer du Nord, Ministère de l'Agriculutre et de la Souverainté Alimentaire	3	151
Direction régionale de l'économie, de l'emploi, du travail et des solidarités d'Ile-de-France	3	151
Direction Régional de l'Alimentation, de l'Agriculture et de la Forêt - Auvergne-Rhône-Alpes	4	151
Direction de la mer sud océan Indien - DMSOI	2	150
Parc national de forêts	5	150
CNAV, Ile-de-France	3	150
CAF 64 	2	149
Secrétariat général pour l'investissement	1	148
Préfecture du Territoire de Belfort, Ministère de l'Intérieur	1	147
Caf64, CNAF	2	147
Agence régionale de santé Ile de France	1	145
Préfecture de l'Aube	10	145
Public	2	143
Direction Générale de la Cohésion et des Populations de Guyane, Préfecture de la Guyane, Ministère du travail	1	141
ARS Ile de France 	3	137
Direction de l'Action Sociale Ile-de-France	3	137
Service Régional Agriculture et Agro-Alimentaire (SRAA)	5	137
ARS Auvergne-Rhône-Alpes	2	136
Préfecture maritime de l'Atlantique, Secrétariat général de la mer, Premier ministre	1	135
Commission nationale de la déontologie et des alertes en matière de santé publique et d'environnement (cnDAspe)	1	133
Division EAU	2	133
Ministère chargé des transports	1	132
Préfecture de la région Normandie	2	131
Direction régionale et interdépartementale de l'hébergement et du logement - Île-de-France (DRIHL)	2	131
PREFECTURE DE LA MARTINIQUE	1	130
CAF DU HAUT-RHIN, CEA, MSA	2	129
DDTM 76	3	128
Conseil départemental de la Haute-Marne	9	128
Unité protection des personnes vulnérables	4	127
CD63	2	126
Conseil départemental des Hauts-de-Seine 	4	126
